# tau(fm)  ecc_1  ecc_2  ecc_3  ecc_4  ecc_5  ecc_6
    2.04000000e+00  9.69275812e-02  5.80577104e-01  1.91511254e-01  3.37502332e-01  1.81757428e-01  1.08173492e-01  
    2.06000000e+00  9.65315076e-02  5.79236292e-01  1.90801848e-01  3.36071922e-01  1.80738860e-01  1.07520325e-01  
    2.08000000e+00  9.61328565e-02  5.77883039e-01  1.90084946e-01  3.34629104e-01  1.79714198e-01  1.06863278e-01  
    2.10000000e+00  9.57315638e-02  5.76517512e-01  1.89361204e-01  3.33173767e-01  1.78683600e-01  1.06202762e-01  
    2.12000000e+00  9.53277970e-02  5.75139761e-01  1.88630788e-01  3.31707466e-01  1.77646155e-01  1.05539816e-01  
    2.14000000e+00  9.49217975e-02  5.73750042e-01  1.87892921e-01  3.30229397e-01  1.76602727e-01  1.04875898e-01  
    2.16000000e+00  9.45131366e-02  5.72348051e-01  1.87149307e-01  3.28740161e-01  1.75554345e-01  1.04209119e-01  
    2.18000000e+00  9.41023763e-02  5.70934780e-01  1.86400293e-01  3.27241001e-01  1.74501860e-01  1.03541583e-01  
    2.20000000e+00  9.36895829e-02  5.69510596e-01  1.85645763e-01  3.25732980e-01  1.73445913e-01  1.02872627e-01  
    2.22000000e+00  9.32748812e-02  5.68075073e-01  1.84884598e-01  3.24215952e-01  1.72385014e-01  1.02201393e-01  
    2.24000000e+00  9.28581204e-02  5.66628956e-01  1.84117646e-01  3.22689167e-01  1.71318797e-01  1.01527080e-01  
    2.26000000e+00  9.24391471e-02  5.65171890e-01  1.83345176e-01  3.21151620e-01  1.70249171e-01  1.00851231e-01  
    2.28000000e+00  9.20179385e-02  5.63702817e-01  1.82567627e-01  3.19604096e-01  1.69174488e-01  1.00174334e-01  
    2.30000000e+00  9.15945117e-02  5.62222226e-01  1.81783493e-01  3.18047088e-01  1.68095256e-01  9.94954116e-02  
    2.32000000e+00  9.11690705e-02  5.60731009e-01  1.80993122e-01  3.16480030e-01  1.67012610e-01  9.88146591e-02  
    2.34000000e+00  9.07418907e-02  5.59229446e-01  1.80197295e-01  3.14904715e-01  1.65926900e-01  9.81329827e-02  
    2.36000000e+00  9.03122463e-02  5.57717359e-01  1.79395083e-01  3.13319839e-01  1.64839700e-01  9.74471254e-02  
    2.38000000e+00  8.98805123e-02  5.56194511e-01  1.78587159e-01  3.11725556e-01  1.63751473e-01  9.67604953e-02  
    2.40000000e+00  8.94469008e-02  5.54661839e-01  1.77773531e-01  3.10123357e-01  1.62662220e-01  9.60735020e-02  
